GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,MATCHUP_HOME,MATCHUP_AWAY
2026-02-22,0022500817,OKC,CLE,OKC vs. CLE,CLE @ OKC
2026-02-22,0022500818,ATL,BKN,ATL vs. BKN,BKN @ ATL
2026-02-22,0022500819,MIL,TOR,MIL vs. TOR,TOR @ MIL
2026-02-22,0022500820,GSW,DEN,GSW vs. DEN,DEN @ GSW
2026-02-22,0022500821,IND,DAL,IND vs. DAL,DAL @ IND
2026-02-22,0022500822,WAS,CHA,WAS vs. CHA,CHA @ WAS
2026-02-22,0022500823,LAL,BOS,LAL vs. BOS,BOS @ LAL
2026-02-22,0022500823,LAL,BOS,LAL vs. BOS,BOS @ LAL
2026-02-22,0022500823,LAL,BOS,LAL vs. BOS,BOS @ LAL
2026-02-22,0022500824,MIN,PHI,MIN vs. PHI,PHI @ MIN
2026-02-22,0022500825,CHI,NYK,CHI vs. NYK,NYK @ CHI
2026-02-22,0022500826,PHX,POR,PHX vs. POR,POR @ PHX
2026-02-22,0022500827,LAC,ORL,LAC vs. ORL,ORL @ LAC
2026-02-23,0022500828,DET,SAS,DET vs. SAS,SAS @ DET
2026-02-23,0022500829,MEM,SAC,MEM vs. SAC,SAC @ MEM
2026-02-23,0022500830,HOU,UTA,HOU vs. UTA,UTA @ HOU
2026-02-24,0022500831,IND,PHI,IND vs. PHI,PHI @ IND
2026-02-24,0022500832,ATL,WAS,ATL vs. WAS,WAS @ ATL
2026-02-24,0022500833,BKN,DAL,BKN vs. DAL,DAL @ BKN
2026-02-24,0022500834,TOR,OKC,TOR vs. OKC,OKC @ TOR
2026-02-24,0022500835,CLE,NYK,CLE vs. NYK,NYK @ CLE
2026-02-24,0022500836,CHI,CHA,CHI vs. CHA,CHA @ CHI
2026-02-24,0022500837,MIL,MIA,MIL vs. MIA,MIA @ MIL
2026-02-24,0022500838,NOP,GSW,NOP vs. GSW,GSW @ NOP
2026-02-24,0022500839,PHX,BOS,PHX vs. BOS,BOS @ PHX
2026-02-24,0022500841,POR,MIN,POR vs. MIN,MIN @ POR
2026-02-24,0022500840,LAL,ORL,LAL vs. ORL,ORL @ LAL
2026-02-25,0022500842,DET,OKC,DET vs. OKC,OKC @ DET
2026-02-25,0022500843,TOR,SAS,TOR vs. SAS,SAS @ TOR
2026-02-25,0022500844,MEM,GSW,MEM vs. GSW,GSW @ MEM
2026-02-25,0022500845,HOU,SAC,HOU vs. SAC,SAC @ HOU
2026-02-25,0022500846,MIL,CLE,MIL vs. CLE,CLE @ MIL
2026-02-25,0022500847,DEN,BOS,DEN vs. BOS,BOS @ DEN
2026-02-26,0022500848,IND,CHA,IND vs. CHA,CHA @ IND
2026-02-26,0022500849,PHI,MIA,PHI vs. MIA,MIA @ PHI
2026-02-26,0022500850,ATL,WAS,ATL vs. WAS,WAS @ ATL
2026-02-26,0022500851,BKN,SAS,BKN vs. SAS,SAS @ BKN
2026-02-26,0022500852,ORL,HOU,ORL vs. HOU,HOU @ ORL
2026-02-26,0022500853,CHI,POR,CHI vs. POR,POR @ CHI
2026-02-26,0022500854,DAL,SAC,DAL vs. SAC,SAC @ DAL
2026-02-26,0022500855,PHX,LAL,PHX vs. LAL,LAL @ PHX
2026-02-26,0022500856,UTA,NOP,UTA vs. NOP,NOP @ UTA
2026-02-26,0022500857,LAC,MIN,LAC vs. MIN,MIN @ LAC
2026-02-27,0022500858,DET,CLE,DET vs. CLE,CLE @ DET
2026-02-27,0022500859,BOS,BKN,BOS vs. BKN,BKN @ BOS
2026-02-27,0022500860,MIL,NYK,MIL vs. NYK,NYK @ MIL
2026-02-27,0022500861,DAL,MEM,DAL vs. MEM,MEM @ DAL
